clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_45024.wav,data\clips_aug\overlay_7346.wav,data\clips_aug\overlay_5055.wav,4,"['1320', '4077', '5639', '1995']"
data\clips_aug\overlay_45025.wav,data\clips_aug\overlay_67.wav,data\clips_aug\overlay_10983.wav,4,"['2961', '5105', '4507', '4077']"
data\clips_aug\overlay_45026.wav,data\clips_aug\overlay_9643.wav,data\clips_aug\overlay_5519.wav,4,"['8224', '121', '4446', '5683']"
data\clips_aug\overlay_45027.wav,data\clips_aug\overlay_6758.wav,data\clips_libricss\OV20_session1_clip312.wav,4,"['3570', '260', '1580', '1089']"
data\clips_aug\overlay_45028.wav,data\clips_aug\overlay_6995.wav,data\clips_aug\overlay_15115.wav,4,"['260', '6930', '7127', '4077']"
data\clips_aug\overlay_45029.wav,data\clips_aug\overlay_14379.wav,data\clips_aug\overlay_372.wav,4,"['2300', '1284', '7127', '2961']"
data\clips_aug\overlay_45030.wav,data\clips_aug\overlay_12055.wav,data\clips_aug\overlay_7928.wav,4,"['5639', '908', '1995', '8224']"
data\clips_aug\overlay_45031.wav,data\clips_aug\overlay_2288.wav,data\clips_aug\overlay_9831.wav,4,"['260', '4970', '2961', '1089']"
data\clips_aug\overlay_45032.wav,data\clips_aug\overlay_188.wav,data\clips_aug\overlay_17546.wav,4,"['121', '1995', '5683', '8555']"
data\clips_aug\overlay_45033.wav,data\clips_libricss\OV40_session1_clip242.wav,data\clips_libricss\OV10_session4_clip43.wav,4,"['121', '7021', '6829', '1188']"
data\clips_aug\overlay_45034.wav,data\clips_aug\overlay_9998.wav,data\clips_aug\overlay_9681.wav,4,"['8463', '1089', '672', '7729']"
data\clips_aug\overlay_45035.wav,data\clips_aug\overlay_13218.wav,data\clips_aug\overlay_18485.wav,4,"['5105', '3575', '6829', '7021']"
data\clips_aug\overlay_45036.wav,data\clips_aug\overlay_13307.wav,data\clips_aug\overlay_10695.wav,4,"['5683', '5639', '4992', '5142']"
data\clips_aug\overlay_45037.wav,data\clips_aug\overlay_7979.wav,data\clips_libricss\OV40_session8_clip569.wav,4,"['3729', '4992', '6930', '260']"
data\clips_aug\overlay_45038.wav,data\clips_libricss\OV20_session8_clip141.wav,data\clips_aug\overlay_271.wav,4,"['7127', '2300', '1188', '1089']"
data\clips_aug\overlay_45039.wav,data\clips_aug\overlay_18250.wav,data\clips_aug\overlay_8540.wav,4,"['2961', '7021', '8463', '1089']"
data\clips_aug\overlay_45040.wav,data\clips_libricss\OV40_session5_clip398.wav,data\clips_aug\overlay_17498.wav,4,"['4077', '8224', '1188', '8463']"
data\clips_aug\overlay_45041.wav,data\clips_aug\overlay_17098.wav,data\clips_aug\overlay_14393.wav,4,"['1580', '8224', '237', '8230']"
data\clips_aug\overlay_45042.wav,data\clips_aug\overlay_14432.wav,data\clips_aug\overlay_7349.wav,4,"['3575', '7127', '8463', '4077']"
data\clips_aug\overlay_45043.wav,data\clips_aug\overlay_6465.wav,data\clips_libricss\OV30_session9_clip134.wav,4,"['3575', '8230', '1320', '7021']"
data\clips_aug\overlay_45044.wav,data\clips_aug\overlay_12285.wav,data\clips_libricss\OV40_session8_clip556.wav,4,"['3575', '4507', '6930', '3729']"
data\clips_aug\overlay_45045.wav,data\clips_aug\overlay_10042.wav,data\clips_aug\overlay_1786.wav,4,"['4970', '2830', '8230', '237']"
data\clips_aug\overlay_45046.wav,data\clips_aug\overlay_921.wav,data\clips_aug\overlay_9071.wav,4,"['1320', '7729', '1284', '3729']"
data\clips_aug\overlay_45047.wav,data\clips_aug\overlay_4769.wav,data\clips_aug\overlay_4662.wav,4,"['1580', '7729', '8224', '8463']"
data\clips_aug\overlay_45048.wav,data\clips_aug\overlay_12494.wav,data\clips_libricss\OV30_session3_clip90.wav,4,"['4446', '61', '6930', '3575']"
data\clips_aug\overlay_45049.wav,data\clips_aug\overlay_16995.wav,data\clips_aug\overlay_11058.wav,4,"['61', '672', '4077', '2830']"
data\clips_aug\overlay_45050.wav,data\clips_libricss\OV30_session7_clip291.wav,data\clips_libricss\OV30_session9_clip106.wav,4,"['2300', '4446', '1320', '61']"
data\clips_aug\overlay_45051.wav,data\clips_aug\overlay_4782.wav,data\clips_aug\overlay_10525.wav,4,"['7729', '4992', '7176', '4077']"
data\clips_aug\overlay_45052.wav,data\clips_aug\overlay_9557.wav,data\clips_aug\overlay_3787.wav,4,"['8224', '3570', '3729', '2300']"
data\clips_aug\overlay_45053.wav,data\clips_aug\overlay_12033.wav,data\clips_aug\overlay_2794.wav,4,"['237', '7021', '1188', '4970']"
data\clips_aug\overlay_45054.wav,data\clips_aug\overlay_13875.wav,data\clips_libricss\0S_session1_clip558.wav,4,"['4507', '672', '1089', '3575']"
data\clips_aug\overlay_45055.wav,data\clips_aug\overlay_7353.wav,data\clips_aug\overlay_17096.wav,4,"['3729', '3575', '1995', '5639']"
data\clips_aug\overlay_45056.wav,data\clips_libricss\OV10_session1_clip443.wav,data\clips_aug\overlay_12488.wav,4,"['2094', '8555', '3570', '2961']"
data\clips_aug\overlay_45057.wav,data\clips_aug\overlay_15322.wav,data\clips_aug\overlay_6533.wav,4,"['5639', '237', '5683', '908']"
data\clips_aug\overlay_45058.wav,data\clips_aug\overlay_17685.wav,data\clips_aug\overlay_975.wav,4,"['908', '3575', '2830', '5105']"
data\clips_aug\overlay_45059.wav,data\clips_aug\overlay_4880.wav,data\clips_aug\overlay_9778.wav,4,"['7729', '6829', '1188', '5105']"
data\clips_aug\overlay_45060.wav,data\clips_libricss\OV10_session5_clip254.wav,data\clips_aug\overlay_4405.wav,4,"['8230', '3575', '8455', '1089']"
data\clips_aug\overlay_45061.wav,data\clips_aug\overlay_9691.wav,data\clips_aug\overlay_4641.wav,4,"['1188', '1089', '4970', '8555']"
data\clips_aug\overlay_45062.wav,data\clips_aug\overlay_11151.wav,data\clips_libricss\OV20_session5_clip84.wav,4,"['672', '4446', '61', '1188']"
data\clips_aug\overlay_45063.wav,data\clips_libricss\OV10_session9_clip8.wav,data\clips_aug\overlay_12981.wav,4,"['8224', '2830', '7729', '8230']"
data\clips_aug\overlay_45064.wav,data\clips_aug\overlay_11635.wav,data\clips_aug\overlay_19277.wav,4,"['7127', '121', '7729', '7176']"
data\clips_aug\overlay_45065.wav,data\clips_libricss\OV30_session4_clip545.wav,data\clips_libricss\OV10_session2_clip505.wav,4,"['5683', '260', '7127', '3570']"
data\clips_aug\overlay_45066.wav,data\clips_aug\overlay_17616.wav,data\clips_libricss\OV40_session1_clip234.wav,4,"['8230', '1580', '237', '7021']"
data\clips_aug\overlay_45067.wav,data\clips_aug\overlay_16632.wav,data\clips_aug\overlay_2212.wav,4,"['3575', '4507', '4992', '2961']"
data\clips_aug\overlay_45068.wav,data\clips_libricss\OV30_session3_clip469.wav,data\clips_libricss\OV20_session4_clip214.wav,4,"['1320', '4446', '1580', '5105']"
data\clips_aug\overlay_45069.wav,data\clips_aug\overlay_16231.wav,data\clips_aug\overlay_3475.wav,4,"['1320', '1188', '6930', '8463']"
data\clips_aug\overlay_45070.wav,data\clips_aug\overlay_1249.wav,data\clips_aug\overlay_16977.wav,4,"['672', '5639', '4507', '3575']"
data\clips_aug\overlay_45071.wav,data\clips_aug\overlay_8353.wav,data\clips_aug\overlay_18260.wav,4,"['1089', '908', '1320', '5105']"
data\clips_aug\overlay_45072.wav,data\clips_aug\overlay_3921.wav,data\clips_aug\overlay_2070.wav,4,"['7729', '1995', '2300', '7021']"
data\clips_aug\overlay_45073.wav,data\clips_aug\overlay_1946.wav,data\clips_aug\overlay_19060.wav,4,"['3570', '2094', '908', '4970']"
data\clips_aug\overlay_45074.wav,data\clips_aug\overlay_2724.wav,data\clips_libricss\OV30_session5_clip509.wav,4,"['2300', '1284', '260', '1089']"
data\clips_aug\overlay_45075.wav,data\clips_aug\overlay_17037.wav,data\clips_aug\overlay_7478.wav,4,"['8230', '2830', '672', '8224']"
data\clips_aug\overlay_45076.wav,data\clips_aug\overlay_691.wav,data\clips_aug\overlay_17163.wav,4,"['1284', '6930', '2830', '8463']"
data\clips_aug\overlay_45077.wav,data\clips_aug\overlay_9333.wav,data\clips_aug\overlay_1912.wav,4,"['2300', '260', '4446', '1188']"
data\clips_aug\overlay_45078.wav,data\clips_aug\overlay_12299.wav,data\clips_aug\overlay_19833.wav,4,"['7127', '1284', '3570', '8463']"
data\clips_aug\overlay_45079.wav,data\clips_aug\overlay_12026.wav,data\clips_libricss\OV30_session9_clip370.wav,4,"['2300', '6930', '7127', '1188']"
data\clips_aug\overlay_45080.wav,data\clips_libricss\OV30_session8_clip560.wav,data\clips_aug\overlay_19641.wav,4,"['908', '4970', '4077', '1580']"
data\clips_aug\overlay_45081.wav,data\clips_aug\overlay_4389.wav,data\clips_libricss\OV10_session3_clip146.wav,4,"['7127', '1188', '2300', '8224']"
data\clips_aug\overlay_45082.wav,data\clips_aug\overlay_14096.wav,data\clips_aug\overlay_8432.wav,4,"['1089', '8224', '7729', '2830']"
data\clips_aug\overlay_45083.wav,data\clips_aug\overlay_9175.wav,data\clips_aug\overlay_10602.wav,4,"['3575', '2300', '4446', '8230']"
data\clips_aug\overlay_45084.wav,data\clips_aug\overlay_18742.wav,data\clips_aug\overlay_696.wav,4,"['4507', '3729', '1320', '4970']"
data\clips_aug\overlay_45085.wav,data\clips_libricss\OV40_session2_clip264.wav,data\clips_aug\overlay_11157.wav,4,"['8230', '1188', '260', '1320']"
data\clips_aug\overlay_45086.wav,data\clips_libricss\0S_session4_clip589.wav,data\clips_aug\overlay_1866.wav,4,"['672', '1995', '4507', '8230']"
data\clips_aug\overlay_45087.wav,data\clips_aug\overlay_8158.wav,data\clips_libricss\OV40_session4_clip279.wav,4,"['5639', '1188', '8555', '3729']"
data\clips_aug\overlay_45088.wav,data\clips_libricss\OV30_session1_clip295.wav,data\clips_aug\overlay_6934.wav,4,"['1580', '4970', '1284', '2830']"
data\clips_aug\overlay_45089.wav,data\clips_aug\overlay_3529.wav,data\clips_aug\overlay_9074.wav,4,"['5639', '5105', '237', '4446']"
data\clips_aug\overlay_45090.wav,data\clips_aug\overlay_16185.wav,data\clips_aug\overlay_11642.wav,4,"['4992', '7021', '237', '3570']"
data\clips_aug\overlay_45091.wav,data\clips_libricss\OV40_session6_clip335.wav,data\clips_aug\overlay_2715.wav,4,"['672', '8230', '3570', '3729']"
data\clips_aug\overlay_45092.wav,data\clips_aug\overlay_18016.wav,data\clips_aug\overlay_8539.wav,4,"['4077', '1089', '1995', '1320']"
data\clips_aug\overlay_45093.wav,data\clips_aug\overlay_8650.wav,data\clips_aug\overlay_5340.wav,4,"['1995', '2300', '2961', '7729']"
data\clips_aug\overlay_45094.wav,data\clips_aug\overlay_19439.wav,data\clips_aug\overlay_11823.wav,4,"['6829', '8555', '8230', '5105']"
data\clips_aug\overlay_45095.wav,data\clips_aug\overlay_5524.wav,data\clips_aug\overlay_9678.wav,4,"['8555', '1221', '2961', '7729']"
data\clips_aug\overlay_45096.wav,data\clips_libricss\0S_session5_clip124.wav,data\clips_libricss\OV30_session4_clip374.wav,4,"['237', '4507', '1320', '2830']"
data\clips_aug\overlay_45097.wav,data\clips_aug\overlay_2852.wav,data\clips_aug\overlay_16010.wav,4,"['1580', '4077', '8463', '4992']"
data\clips_aug\overlay_45098.wav,data\clips_aug\overlay_16472.wav,data\clips_aug\overlay_15055.wav,4,"['2961', '7729', '2830', '8224']"
data\clips_aug\overlay_45099.wav,data\clips_aug\overlay_1636.wav,data\clips_aug\overlay_15599.wav,4,"['672', '1995', '4077', '3729']"
data\clips_aug\overlay_45100.wav,data\clips_aug\overlay_13542.wav,data\clips_aug\overlay_9428.wav,4,"['1284', '7729', '3729', '6829']"
data\clips_aug\overlay_45101.wav,data\clips_aug\overlay_16380.wav,data\clips_aug\overlay_19988.wav,4,"['672', '2300', '8230', '8463']"
data\clips_aug\overlay_45102.wav,data\clips_aug\overlay_8127.wav,data\clips_aug\overlay_13739.wav,4,"['2961', '7729', '5105', '8230']"
data\clips_aug\overlay_45103.wav,data\clips_libricss\OV20_session0_clip66.wav,data\clips_libricss\OV40_session6_clip482.wav,4,"['7127', '1089', '5105', '1188']"
data\clips_aug\overlay_45104.wav,data\clips_libricss\OV40_session7_clip452.wav,data\clips_aug\overlay_4380.wav,4,"['1580', '2830', '1188', '4507']"
data\clips_aug\overlay_45105.wav,data\clips_aug\overlay_249.wav,data\clips_libricss\OV30_session9_clip415.wav,4,"['7127', '6930', '7729', '7176']"
data\clips_aug\overlay_45106.wav,data\clips_aug\overlay_16970.wav,data\clips_aug\overlay_11520.wav,4,"['5683', '7021', '1320', '1188']"
data\clips_aug\overlay_45107.wav,data\clips_aug\overlay_10111.wav,data\clips_aug\overlay_17490.wav,4,"['4507', '1284', '1188', '2300']"
data\clips_aug\overlay_45108.wav,data\clips_aug\overlay_11818.wav,data\clips_libricss\0S_session3_clip475.wav,4,"['8463', '7127', '672', '61']"
data\clips_aug\overlay_45109.wav,data\clips_aug\overlay_175.wav,data\clips_libricss\OV30_session5_clip9.wav,4,"['1089', '1995', '8224', '2830']"
data\clips_aug\overlay_45110.wav,data\clips_aug\overlay_10154.wav,data\clips_aug\overlay_2494.wav,4,"['4077', '4970', '260', '672']"
data\clips_aug\overlay_45111.wav,data\clips_libricss\OV40_session2_clip215.wav,data\clips_aug\overlay_12599.wav,4,"['260', '1188', '4507', '7021']"
data\clips_aug\overlay_45112.wav,data\clips_libricss\OV40_session6_clip336.wav,data\clips_aug\overlay_11472.wav,4,"['672', '8230', '7127', '3570']"
data\clips_aug\overlay_45113.wav,data\clips_aug\overlay_5111.wav,data\clips_libricss\OV30_session6_clip31.wav,4,"['1221', '7729', '908', '4992']"
data\clips_aug\overlay_45114.wav,data\clips_aug\overlay_1051.wav,data\clips_aug\overlay_6050.wav,4,"['1284', '7021', '7729', '4992']"
data\clips_aug\overlay_45115.wav,data\clips_aug\overlay_1776.wav,data\clips_libricss\OV40_session7_clip370.wav,4,"['7127', '5639', '1221', '5142']"
data\clips_aug\overlay_45116.wav,data\clips_aug\overlay_8524.wav,data\clips_libricss\OV20_session1_clip335.wav,4,"['6829', '8463', '260', '8224']"
data\clips_aug\overlay_45117.wav,data\clips_aug\overlay_1941.wav,data\clips_libricss\OV20_session9_clip118.wav,4,"['237', '4970', '4077', '5105']"
data\clips_aug\overlay_45118.wav,data\clips_libricss\OV40_session3_clip100.wav,data\clips_aug\overlay_8782.wav,4,"['4077', '8463', '8455', '8555']"
data\clips_aug\overlay_45119.wav,data\clips_aug\overlay_3879.wav,data\clips_aug\overlay_15917.wav,4,"['6930', '7729', '3575', '237']"
data\clips_aug\overlay_45120.wav,data\clips_aug\overlay_52.wav,data\clips_libricss\OV40_session0_clip193.wav,4,"['8463', '4970', '7729', '2830']"
data\clips_aug\overlay_45121.wav,data\clips_aug\overlay_13588.wav,data\clips_aug\overlay_11786.wav,4,"['5105', '1221', '3570', '5683']"
data\clips_aug\overlay_45122.wav,data\clips_aug\overlay_7768.wav,data\clips_aug\overlay_18295.wav,4,"['1089', '7729', '6829', '5105']"
data\clips_aug\overlay_45123.wav,data\clips_aug\overlay_15596.wav,data\clips_aug\overlay_10507.wav,4,"['3575', '121', '7176', '1995']"
data\clips_aug\overlay_45124.wav,data\clips_aug\overlay_8419.wav,data\clips_aug\overlay_6813.wav,4,"['61', '121', '5142', '8555']"
data\clips_aug\overlay_45125.wav,data\clips_aug\overlay_19729.wav,data\clips_aug\overlay_3151.wav,4,"['2300', '4446', '7729', '5639']"
data\clips_aug\overlay_45126.wav,data\clips_aug\overlay_10151.wav,data\clips_aug\overlay_18705.wav,4,"['61', '3729', '7127', '1320']"
data\clips_aug\overlay_45127.wav,data\clips_aug\overlay_17829.wav,data\clips_libricss\OV40_session9_clip224.wav,4,"['7729', '7176', '2961', '1284']"
data\clips_aug\overlay_45128.wav,data\clips_libricss\OV40_session2_clip215.wav,data\clips_aug\overlay_17251.wav,4,"['260', '1188', '5105', '5639']"
data\clips_aug\overlay_45129.wav,data\clips_libricss\OV40_session9_clip257.wav,data\clips_aug\overlay_4188.wav,4,"['3575', '1284', '4077', '2961']"
data\clips_aug\overlay_45130.wav,data\clips_libricss\OV30_session1_clip592.wav,data\clips_aug\overlay_7455.wav,4,"['5142', '4970', '8463', '6930']"
data\clips_aug\overlay_45131.wav,data\clips_aug\overlay_13802.wav,data\clips_aug\overlay_10892.wav,4,"['2094', '237', '908', '5105']"
data\clips_aug\overlay_45132.wav,data\clips_aug\overlay_9278.wav,data\clips_libricss\OV10_session8_clip409.wav,4,"['8224', '8230', '7729', '1580']"
data\clips_aug\overlay_45133.wav,data\clips_aug\overlay_13096.wav,data\clips_aug\overlay_17138.wav,4,"['61', '1995', '8224', '1320']"
data\clips_aug\overlay_45134.wav,data\clips_aug\overlay_18761.wav,data\clips_libricss\OV40_session4_clip430.wav,4,"['2961', '4970', '4077', '121']"
data\clips_aug\overlay_45135.wav,data\clips_libricss\OV30_session6_clip68.wav,data\clips_aug\overlay_6415.wav,4,"['908', '8555', '4077', '3729']"
data\clips_aug\overlay_45136.wav,data\clips_aug\overlay_12612.wav,data\clips_libricss\OV30_session5_clip544.wav,4,"['1995', '6829', '1089', '2830']"
data\clips_aug\overlay_45137.wav,data\clips_aug\overlay_13838.wav,data\clips_aug\overlay_5799.wav,4,"['7729', '5105', '8230', '1188']"
data\clips_aug\overlay_45138.wav,data\clips_aug\overlay_3530.wav,data\clips_aug\overlay_14547.wav,4,"['237', '8230', '8455', '8224']"
data\clips_aug\overlay_45139.wav,data\clips_libricss\OV40_session8_clip338.wav,data\clips_aug\overlay_5737.wav,4,"['3729', '5639', '7021', '1320']"
data\clips_aug\overlay_45140.wav,data\clips_aug\overlay_17926.wav,data\clips_aug\overlay_5547.wav,4,"['8230', '1580', '1188', '3729']"
data\clips_aug\overlay_45141.wav,data\clips_aug\overlay_7811.wav,data\clips_aug\overlay_11218.wav,4,"['1089', '1320', '2830', '4992']"
data\clips_aug\overlay_45142.wav,data\clips_libricss\OV20_session9_clip511.wav,data\clips_aug\overlay_1152.wav,4,"['5639', '5105', '3729', '2300']"
data\clips_aug\overlay_45143.wav,data\clips_aug\overlay_19821.wav,data\clips_aug\overlay_9162.wav,4,"['3729', '4446', '672', '2830']"
data\clips_aug\overlay_45144.wav,data\clips_aug\overlay_5297.wav,data\clips_libricss\OV30_session8_clip392.wav,4,"['7729', '2961', '3570', '4970']"
data\clips_aug\overlay_45145.wav,data\clips_aug\overlay_13742.wav,data\clips_aug\overlay_13667.wav,4,"['4992', '6930', '5105', '121']"
data\clips_aug\overlay_45146.wav,data\clips_aug\overlay_10895.wav,data\clips_aug\overlay_14253.wav,4,"['7729', '6829', '8224', '1995']"
data\clips_aug\overlay_45147.wav,data\clips_aug\overlay_3233.wav,data\clips_libricss\OV40_session7_clip599.wav,4,"['260', '6930', '8455', '2830']"
data\clips_aug\overlay_45148.wav,data\clips_aug\overlay_16964.wav,data\clips_aug\overlay_5622.wav,4,"['1580', '6829', '7021', '3729']"
data\clips_aug\overlay_45149.wav,data\clips_libricss\OV10_session0_clip214.wav,data\clips_aug\overlay_11390.wav,4,"['4992', '8455', '908', '8555']"
data\clips_aug\overlay_45150.wav,data\clips_aug\overlay_12656.wav,data\clips_libricss\OV30_session9_clip196.wav,4,"['5105', '8224', '7729', '7021']"
data\clips_aug\overlay_45151.wav,data\clips_aug\overlay_3993.wav,data\clips_libricss\OV20_session0_clip436.wav,4,"['4992', '2300', '4507', '1089']"
data\clips_aug\overlay_45152.wav,data\clips_aug\overlay_13578.wav,data\clips_aug\overlay_1742.wav,4,"['8230', '4077', '4992', '5142']"
data\clips_aug\overlay_45153.wav,data\clips_libricss\OV20_session3_clip372.wav,data\clips_aug\overlay_5816.wav,4,"['908', '5142', '7021', '4077']"
data\clips_aug\overlay_45154.wav,data\clips_aug\overlay_18485.wav,data\clips_aug\overlay_9677.wav,4,"['6829', '7021', '7729', '1284']"
data\clips_aug\overlay_45155.wav,data\clips_aug\overlay_8320.wav,data\clips_aug\overlay_1385.wav,4,"['3570', '1188', '7021', '2961']"
data\clips_aug\overlay_45156.wav,data\clips_aug\overlay_9113.wav,data\clips_aug\overlay_2032.wav,4,"['1320', '6829', '8463', '3575']"
data\clips_aug\overlay_45157.wav,data\clips_aug\overlay_12400.wav,data\clips_aug\overlay_12675.wav,4,"['7729', '3570', '1221', '8230']"
data\clips_aug\overlay_45158.wav,data\clips_aug\overlay_7492.wav,data\clips_aug\overlay_13914.wav,4,"['4077', '5105', '3575', '7729']"
data\clips_aug\overlay_45159.wav,data\clips_aug\overlay_9157.wav,data\clips_libricss\OV40_session1_clip209.wav,4,"['7127', '8455', '121', '4446']"
data\clips_aug\overlay_45160.wav,data\clips_aug\overlay_15028.wav,data\clips_aug\overlay_16230.wav,4,"['121', '3570', '4970', '3575']"
data\clips_aug\overlay_45161.wav,data\clips_aug\overlay_11671.wav,data\clips_aug\overlay_15964.wav,4,"['237', '6829', '2961', '1995']"
data\clips_aug\overlay_45162.wav,data\clips_aug\overlay_9278.wav,data\clips_aug\overlay_17956.wav,4,"['8224', '8230', '260', '7729']"
data\clips_aug\overlay_45163.wav,data\clips_libricss\OV40_session3_clip28.wav,data\clips_libricss\OV40_session2_clip16.wav,4,"['7127', '3575', '8224', '1284']"
data\clips_aug\overlay_45164.wav,data\clips_aug\overlay_2188.wav,data\clips_aug\overlay_15324.wav,4,"['7021', '6930', '4077', '260']"
data\clips_aug\overlay_45165.wav,data\clips_aug\overlay_8581.wav,data\clips_aug\overlay_19783.wav,4,"['908', '4507', '2961', '2830']"
data\clips_aug\overlay_45166.wav,data\clips_aug\overlay_1086.wav,data\clips_aug\overlay_9556.wav,4,"['1188', '7021', '7127', '6829']"
data\clips_aug\overlay_45167.wav,data\clips_libricss\OV10_session4_clip157.wav,data\clips_aug\overlay_623.wav,4,"['672', '8224', '7021', '2094']"
data\clips_aug\overlay_45168.wav,data\clips_aug\overlay_15068.wav,data\clips_aug\overlay_7750.wav,4,"['1188', '8224', '3570', '8230']"
data\clips_aug\overlay_45169.wav,data\clips_aug\overlay_13769.wav,data\clips_libricss\OV30_session1_clip144.wav,4,"['8224', '8230', '7729', '3575']"
data\clips_aug\overlay_45170.wav,data\clips_aug\overlay_4410.wav,data\clips_aug\overlay_11590.wav,4,"['6930', '1089', '6829', '1320']"
data\clips_aug\overlay_45171.wav,data\clips_aug\overlay_13398.wav,data\clips_aug\overlay_17275.wav,4,"['672', '1221', '8224', '260']"
data\clips_aug\overlay_45172.wav,data\clips_libricss\OV40_session4_clip218.wav,data\clips_aug\overlay_9931.wav,4,"['8555', '1188', '5639', '1320']"
data\clips_aug\overlay_45173.wav,data\clips_libricss\OV40_session0_clip220.wav,data\clips_aug\overlay_5971.wav,4,"['121', '1284', '8230', '4970']"
data\clips_aug\overlay_45174.wav,data\clips_aug\overlay_5921.wav,data\clips_aug\overlay_7021.wav,4,"['2830', '1284', '2961', '1188']"
data\clips_aug\overlay_45175.wav,data\clips_aug\overlay_10152.wav,data\clips_aug\overlay_4739.wav,4,"['5105', '260', '1188', '237']"
data\clips_aug\overlay_45176.wav,data\clips_aug\overlay_11076.wav,data\clips_aug\overlay_16938.wav,4,"['2300', '672', '5142', '1089']"
data\clips_aug\overlay_45177.wav,data\clips_libricss\OV30_session0_clip134.wav,data\clips_aug\overlay_1343.wav,4,"['1995', '2961', '672', '8230']"
data\clips_aug\overlay_45178.wav,data\clips_aug\overlay_15940.wav,data\clips_libricss\OV40_session1_clip64.wav,4,"['6829', '8230', '237', '4446']"
data\clips_aug\overlay_45179.wav,data\clips_aug\overlay_15493.wav,data\clips_libricss\OV30_session5_clip166.wav,4,"['1320', '1221', '908', '1089']"
data\clips_aug\overlay_45180.wav,data\clips_libricss\OV40_session4_clip26.wav,data\clips_aug\overlay_9626.wav,4,"['908', '3729', '5105', '672']"
data\clips_aug\overlay_45181.wav,data\clips_aug\overlay_10452.wav,data\clips_aug\overlay_16616.wav,4,"['121', '1188', '1320', '1089']"
